	Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	TotalTests	Population	Continent
0	USA	80,201,999	+35,851	962,212	+736	51,996,842	+57,333	27,242,945	10,996	940,281,637	334,183,570	North America
1	India	42,865,431	+13,502	512,652	+281	42,178,214	+19,704	174,565	8,944	761,230,580	1,402,235,728	Asia
2	Brazil	28,351,327	+100,736	645,420	+725	25,244,026		2,461,881	8,318	63,776,166	215,035,499	South America
3	France	22,401,406	+97,382	137,276	+285	19,740,327	+319,295	2,523,803	3,055	243,529,298	65,510,236	Europe
4	UK	18,695,449	+41,130	160,815	+205	16,918,511	+101,391	1,616,123	324	477,969,909	68,470,433	Europe
5	Russia	15,657,928	+135,172	347,031	+796	12,657,025	+164,293	2,653,872	2,300	273,400,000	146,037,024	Europe
6	Germany	13,872,762	+158,507	122,369	+329	10,031,200	+201,900	3,719,193	2,494	104,701,826	84,223,015	Europe
7	Turkey	13,675,581	+86,070	92,990	+271	12,853,899	+98,199	728,692	1,128	141,211,474	85,826,038	Asia
8	Italy	12,554,596	+60,029	153,512	+322	11,109,291	+89,993	1,291,793	896	184,981,913	60,316,106	Europe
9	Spain	10,880,194	+22,194	98,635	+173	8,876,996	+141,095	1,904,563	1,185	471,036,328	46,784,460	Europe
10	Argentina	8,855,624	+16,950	125,618	+167	8,607,471	+11,011	122,535	1,474	33,992,595	45,875,348	South America
11	Iran	6,983,635	+22,073	135,499	+223	6,539,753	+22,317	308,383	3,918	46,780,865	85,754,239	Asia
12	Netherlands	6,153,207	+34,665	21,507	+18	3,922,750	+74,414	2,208,950	171	21,107,399	17,197,011	Europe
13	Colombia	6,052,126	+2,174	138,285	+80	5,874,444	+3,565	39,397	342	33,016,280	51,771,513	South America
14	Poland	5,582,217	+18,792	110,157	+325	4,935,340	+44,530	536,720	947	33,181,435	37,778,671	Europe
15	Mexico	5,418,257	+4,832	315,786	+98	4,676,499	+12,177	425,972	4,798	14,895,473	131,152,303	North America
16	Indonesia	5,289,414	+57,491	146,798	+257	4,593,185	+38,474	549,431	2,807	82,000,597	278,262,700	Asia
17	Ukraine	4,758,773	+24,440	104,932	+287	3,985,601	+33,238	668,240	177	19,430,200	43,303,109	Europe
18	Japan	4,540,656	+55,903	22,000	+179	3,698,801	+85,534	819,855	1,504	37,793,387	125,841,851	Asia
19	South Africa	3,662,032	+2,334	98,868	+64	3,526,115	+1,713	37,049	546	22,928,257	60,533,773	Africa
20	Philippines	3,654,284	+1,019	55,776	+13	3,541,840	+2,988	56,668	304	27,993,027	111,970,468	Asia
21	Israel	3,576,923	+10,107	10,038	+37	3,453,676	+17,574	113,209	695	41,373,364	9,326,000	Asia
22	Czechia	3,523,869	+13,461	38,335	+20	3,352,052	+19,252	133,482	210	52,339,933	10,741,543	Europe
23	Belgium	3,512,212	+5,984	30,015	+30	2,667,319	+54,478	814,878	315	31,453,138	11,672,287	Europe
24	Peru	3,497,896		209,641		N/A	N/A	N/A	1,163	26,997,737	33,724,280	South America
25	Malaysia	3,273,958	+27,179	32,433	+43	2,974,441	+19,037	267,084	286	48,228,081	33,045,379	Asia
26	Canada	3,249,964	+6,013	36,113	+67	3,096,834	+7,457	117,017	790	57,774,463	38,284,405	North America
27	Portugal	3,206,281	+13,103	20,894	+28	2,717,509	+20,813	467,878	111	37,805,639	10,147,978	Europe
28	Australia	3,074,283	+24,868	4,966	+37	2,834,719		234,598	172	63,020,941	25,984,635	Australia/Oceania
29	Chile	2,895,931	+18,380	41,526	+35	1,923,902	+15,574	930,503	1,020	32,424,200	19,385,090	South America
30	Vietnam	2,890,522	+55,879	39,682	+77	2,305,081	+10,412	545,759	3,434	78,586,958	98,773,702	Asia
31	Thailand	2,749,561	+18,363	22,694	+35	2,557,796	+15,651	169,071	687	17,270,775	70,087,036	Asia
32	Switzerland	2,700,057	+12,572	13,171	+1	1,945,205	+24,569	741,681	160	18,409,729	8,758,340	Europe
33	Romania	2,686,089	+14,775	62,839	+207	2,358,958	+29,774	264,292	1,063	20,763,483	19,027,346	Europe
34	Austria	2,515,962	+21,427	14,631	+37	2,227,197	+28,735	274,134	199	155,838,597	9,090,615	Europe
35	Denmark	2,513,265	+28,773	4,375	+34	1,989,789	+47,010	519,101	34	124,694,186	5,825,632	Europe
36	Sweden	2,431,365		16,897		1,877,097	+68,611	537,371	86	18,107,257	10,202,465	Europe
37	Greece	2,336,615	+19,623	25,485	+68	2,103,736	+19,064	207,394	455	63,959,112	10,339,605	Europe
38	Iraq	2,294,929	+1,685	24,897	+21	2,227,997	+3,477	42,035	191	17,887,384	41,700,270	Asia
39	S. Korea	2,157,734	+99,550	7,508	+58	936,891	+31,763	1,213,335	480	15,804,065	51,341,502	Asia
40	Bangladesh	1,936,837	+1,595	28,990	+16	1,771,615	+8,357	136,232	1,275	13,260,511	167,377,842	Asia
41	Serbia	1,892,187	+4,591	14,958	+54	1,730,101	+14,464	147,128	132	8,670,454	8,679,686	Europe
42	Hungary	1,762,878	+3,193	43,430	+131	1,535,456	+8,630	183,992	177	10,669,050	9,620,146	Europe
43	Jordan	1,591,278	+9,117	13,731	+18	1,432,148	+16,717	145,399	978	16,062,203	10,369,104	Asia
44	Georgia	1,565,769	+12,101	15,933	+45	1,422,540	+14,764	127,296		15,693,403	3,976,616	Asia
45	Pakistan	1,502,641	+961	30,053	+13	1,406,361	+2,393	66,227	1,261	26,174,561	227,916,250	Asia
46	Slovakia	1,374,459	+13,420	18,279	+27	1,128,008	+19,228	228,172	246	6,248,288	5,463,976	Europe
